Date,TMF_全市場,TMF_多方未平倉口數,TMF_空方未平倉口數
2024-08-01,11587,4802,76
2024-08-02,21206,1204,5801
2024-08-05,26627,6081,4369
2024-08-06,18819,7092,603
2024-08-07,27186,17000,2926
2024-08-08,29860,13521,10834
2024-08-09,36389,24232,11021
2024-08-12,35313,21911,10877
2024-08-13,35503,21817,10765
2024-08-14,35503,22231,2386
2024-08-15,36279,20486,3023
2024-08-16,29684,16569,2985
2024-08-19,28460,13310,3375
2024-08-20,26775,11068,3029
2024-08-21,26916,54,7028
2024-08-22,25621,4181,13788
2024-08-23,30250,3043,17909
2024-08-26,32314,2649,19921
2024-08-27,33276,788,22456
2024-08-28,32898,2434,17358
2024-08-29,27233,405,14511
2024-08-30,25775,3188,13325
2024-09-02,32126,2576,21783
2024-09-03,34554,1870,24258
2024-09-04,33907,1301,23881
2024-09-05,34357,1979,20762
2024-09-06,33270,2580,17459
2024-09-09,35607,4100,18721
2024-09-10,37812,3413,21752
2024-09-11,37920,4376,20787
2024-09-12,42710,15064,19243
2024-09-13,41919,13390,20229
2024-09-16,41800,12489,21073
2024-09-18,30050,2814,6351
2024-09-19,23709,9433,3197
2024-09-20,23893,5122,3180
2024-09-23,25104,6732,3067
2024-09-24,26640,9050,2898
2024-09-25,26694,7383,3884
2024-09-26,27496,5075,3428
2024-09-27,29187,2797,7036
2024-09-30,34159,1492,14764
2024-10-01,31945,1902,11552
2024-10-04,31406,3377,11308
2024-10-07,30408,4874,6671
2024-10-08,34092,4722,12045
2024-10-09,30572,5300,8541
2024-10-11,31636,9177,7194
2024-10-14,32018,10465,7589
2024-10-15,31470,11295,5231
2024-10-16,28692,438,4600
2024-10-17,24385,2396,4924
2024-10-18,27163,1942,8767
2024-10-21,30065,362,11120
2024-10-22,32811,1786,11555
2024-10-23,38749,63,15011
2024-10-24,38853,1016,14910
2024-10-25,37752,4922,12607
2024-10-28,39107,856,15441
2024-10-29,44733,123,17537
2024-10-30,41482,203,17404
2024-11-01,39582,176,16490
2024-11-04,37680,2064,14135
2024-11-05,35620,1521,13558
2024-11-06,36018,3038,13677
2024-11-07,37016,6200,9904
2024-11-08,36329,8261,6823
2024-11-11,41032,2484,7937
2024-11-12,49312,1231,13012
2024-11-13,46783,2473,11927
2024-11-14,49379,1551,14031
2024-11-15,48379,5202,13388
2024-11-18,49297,2154,13935
2024-11-19,44810,6724,8457
2024-11-20,48029,1104,12594
2024-11-21,48434,2268,17548
2024-11-22,44667,13174,12015
2024-11-25,48944,7983,12349
2024-11-26,55512,3434,18214
2024-11-27,60814,2952,23481
2024-11-28,57383,3880,20038
2024-11-29,56441,4550,19980
2024-12-02,49650,10862,14872
2024-12-03,46198,12077,12619
2024-12-04,47365,15789,11846
2024-12-05,48111,15220,12968
2024-12-06,47820,14223,13925
2024-12-09,47708,13944,14266
2024-12-10,48891,10107,14426
2024-12-11,51723,8572,15100
2024-12-12,50580,13429,13779
2024-12-13,53361,12875,16132
2024-12-16,51438,11791,14290
2024-12-17,48628,13297,13715
2024-12-18,39636,1692,7103
2024-12-19,38710,1653,9333
2024-12-20,46509,1766,17793
2024-12-23,35484,3374,4107
2024-12-24,35152,2609,6942
2024-12-25,36974,6784,6879
2024-12-26,35990,2920,7188
2024-12-27,34921,3537,5301
2024-12-30,40352,3899,10136
2024-12-31,49688,7788,22634
2025-01-02,58890,5593,29844
2025-01-03,49278,9824,22281
2025-01-06,51725,18972,11860
2025-01-07,52981,18225,14634
2025-01-08,49693,11877,20166
2025-01-09,58972,9643,29850
2025-01-10,60787,10174,32505
2025-01-13,66751,8041,40046
2025-01-14,59834,10251,34717
2025-01-15,61372,1336,25721
2025-01-16,39786,4351,20475
2025-01-17,41042,4039,20846
2025-01-20,40690,5833,17970
2025-01-21,41797,5317,19469
2025-01-22,45830,6601,17463
2025-02-03,44390,3521,32890
2025-02-04,43970,3404,27961
2025-02-05,46945,4784,21570
2025-02-06,49460,5589,21818
2025-02-07,52097,5631,17615
2025-02-10,48761,4251,22568
2025-02-11,51992,5663,22676
2025-02-12,52263,6850,22261
2025-02-13,54783,4797,23928
2025-02-14,58775,3481,36930
2025-02-17,56771,7159,19145
2025-02-18,59609,10605,19597
2025-02-19,38418,7196,2053
2025-02-20,32672,4511,4695
2025-02-21,40838,11208,1418
2025-02-24,38507,5254,4508
2025-02-25,46945,2539,13446
2025-02-26,50722,9717,13047
2025-02-27,49817,1046,11872
2025-03-03,67319,1534,27026
2025-03-04,67584,3713,22928
2025-03-05,60715,7920,16887
2025-03-06,67371,6149,23556
2025-03-07,71568,6685,29411
2025-03-10,74361,6899,31636
2025-03-11,80736,9063,37240
2025-03-12,77000,14693,32495
2025-03-13,78294,11826,33436
2025-03-14,77785,12052,32914
2025-03-17,71989,13201,26949
2025-03-18,66599,11482,26713
2025-03-19,62982,77,23851
2025-03-20,44084,3592,13695
2025-03-21,52103,372,19383
2025-03-24,54107,441,21132
2025-03-25,46317,1229,14451
2025-03-26,48494,1780,15675
2025-03-27,66916,552,30807
2025-03-28,74302,502,38956
2025-03-31,67952,291,36137
2025-04-01,58506,3514,23275
2025-04-02,54863,4205,19997
2025-04-07,50494,3483,17012
2025-04-08,45252,2997,19551
2025-04-09,55017,3512,31997
2025-04-10,41883,8742,15845
2025-04-11,39387,8340,12138
2025-04-14,39484,5439,15184
2025-04-15,40337,10707,6351
2025-04-16,39056,2284,14965
2025-04-17,35783,3735,11006
2025-04-18,36512,3399,11582
2025-04-21,40900,3076,17158
2025-04-22,44125,2173,20855
2025-04-23,38694,9347,4015
2025-04-24,37725,3631,6499
2025-04-25,42067,13277,3278
2025-04-28,41550,10244,3603
2025-04-29,43351,12791,3283
2025-04-30,43105,11823,3043
2025-05-02,54146,21221,2619
2025-05-05,51344,13535,15258
2025-05-06,52819,15190,16418
2025-05-07,50550,14538,13525
2025-05-08,52637,19108,11713
2025-05-09,56228,22832,10193
2025-05-12,55135,22826,12445
2025-05-13,54129,22428,10731
2025-05-14,56919,24951,5203
2025-05-15,55982,23369,7124
2025-05-16,57190,24701,6936
2025-05-19,57278,23234,18339
2025-05-20,56264,23085,17890
2025-05-21,46475,11566,971
2025-05-22,36953,8511,4605
2025-05-23,39683,9782,5970
2025-05-26,40582,7781,8231
2025-05-27,45149,7573,14546
2025-05-28,46658,9176,15795
2025-05-29,47356,10737,18423
2025-06-02,57503,8408,28096
2025-06-03,47923,8716,13999
2025-06-04,48368,12667,790
2025-06-05,47320,11101,1434
2025-06-06,47383,10832,3411
2025-06-09,47263,12081,3628
2025-06-10,51565,20366,3918
2025-06-11,51896,19873,2797
2025-06-12,50052,16825,4927
2025-06-13,49899,12076,11760
2025-06-16,54066,15978,14697
2025-06-17,55715,17225,16370
2025-06-18,51190,6267,1136
2025-06-19,44149,5941,11616
2025-06-20,44778,7302,9930
2025-06-23,48781,6017,13533
2025-06-24,40401,9443,3324
2025-06-25,42464,9280,4864
2025-06-26,45462,8858,5281
2025-06-27,45709,8115,8217
2025-06-30,42717,9992,4303
2025-07-01,44027,15535,945
2025-07-02,48953,18192,2870
2025-07-03,51552,26177,1061
2025-07-04,51026,15735,6768
2025-07-07,52003,16725,8551
2025-07-08,49374,11976,7839
2025-07-09,49694,15578,5975
2025-07-10,49252,19767,2326
2025-07-11,53331,25899,2752
2025-07-14,57520,22422,8572
2025-07-15,54481,28073,2800
2025-07-16,48508,18738,2324
2025-07-17,44101,19152,1898
2025-07-18,45157,16054,3587
2025-07-21,44365,15953,4048
2025-07-22,48132,13981,8901
2025-07-23,45663,16099,4668
2025-07-24,45076,15386,5147
2025-07-25,45700,11192,5374
2025-07-28,45730,15219,5282
2025-07-29,45835,8451,5985
2025-07-30,45707,19047,2070
2025-07-31,50941,24374,2193
2025-08-01,53987,16773,12812
2025-08-04,60072,21643,16047
2025-08-05,58900,29247,10035
2025-08-06,61247,26208,15404
2025-08-07,63140,40257,9688
2025-08-08,65877,37066,12152
2025-08-11,63279,37552,11384
2025-08-12,64903,37916,12058
2025-08-13,64944,39466,12137
2025-08-14,68942,37039,15263
2025-08-15,70023,38727,16534
2025-08-18,74266,46579,17112
2025-08-19,72797,38530,16602
2025-08-20,76036,2994,20682
2025-08-21,43956,5913,13167
2025-08-22,45429,5901,11778
2025-08-25,46175,11582,1538
2025-08-26,45101,8241,4976
2025-08-27,49488,15045,2226
2025-08-28,49310,8149,8747
2025-08-29,48473,7412,7482
2025-09-01,52977,6935,20576
2025-09-02,51316,6236,17120
2025-09-03,54379,8358,17721
2025-09-04,49777,9438,10811
2025-09-05,54323,16515,5022
2025-09-08,56822,19398,6525
2025-09-09,64001,24654,3794
2025-09-10,72380,31594,4304
2025-09-11,67782,28800,4134
2025-09-12,67344,28936,914
2025-09-15,63909,24362,4163
2025-09-16,67314,29724,4054
2025-09-17,58382,7693,849
2025-09-18,50696,15162,1427
2025-09-19,47730,6198,2284
2025-09-22,53352,11376,1754
2025-09-23,57136,13033,2310
2025-09-24,54251,7256,9025
2025-09-25,55643,6760,11204
2025-09-26,57838,3806,24068
2025-09-30,56294,4255,15922
2025-10-01,55857,5576,14488
2025-10-02,58177,8485,9024
2025-10-03,59142,9768,4487
2025-10-07,56504,10671,6309
2025-10-08,56838,5141,14200
2025-10-09,55256,5239,8694
2025-10-13,58219,5001,19730
2025-10-14,52722,2961,16658
2025-10-15,46496,10920,3759
2025-10-16,48512,16487,4487
2025-10-17,41206,2521,5597
2025-10-20,46598,16550,4904
2025-10-21,49143,20729,4593
2025-10-22,44234,7188,4131
2025-10-23,49998,8457,8083
2025-10-27,46636,17497,5146
2025-10-28,47874,7948,9497
2025-10-29,52945,20288,4635
2025-10-30,48275,13560,4313
2025-10-31,49143,16179,4796
2025-11-03,51802,13256,10060
2025-11-04,52360,8055,13525
2025-11-05,58344,6384,23781
2025-11-06,54287,7408,16370
2025-11-07,62315,5918,28006
2025-11-10,62010,13334,24858
2025-11-11,65467,12173,32358
2025-11-12,64332,15656,23201
2025-11-13,66553,13198,31532
2025-11-14,76661,11600,48722
2025-11-17,65323,12764,33078
2025-11-18,75549,10082,49380
2025-11-19,69300,1209,30610
2025-11-20,50050,9259,15467
2025-11-21,67691,1237,43835
2025-11-24,56928,1388,31111
2025-11-25,54044,3412,21965
2025-11-26,60216,13812,18361
2025-11-27,62188,17565,15556
2025-11-28,65510,21266,15203
2025-12-01,62329,10937,23522
2025-12-02,59121,10452,17188
2025-12-03,61409,13109,17506
2025-12-04,63665,14840,20393
